"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2006 - 11","2612005","11.5","25","8.7","5.5","12","0.0","2.3","5","-44.4"
"2006 - 12","2612704","11.9","26","4.0","3.2","7","-41.7","2.3","5","0.0"
"2007 - 01","2613404","9.6","21","-19.2","4.1","9","28.6","2.8","6","20.0"
"2007 - 02","2614103","9.6","21","0.0","6.9","15","66.7","0.9","2","-66.7"
"2007 - 03","2614802","11","24","14.3","5.5","12","-20.0","5.5","12","500.0"
"2007 - 04","2615502","8.7","19","-20.8","5","11","-8.3","4.1","9","-25.0"
"2007 - 05","2616201","12.4","27","42.1","5","11","0.0","2.3","5","-44.4"
"2007 - 06","2616901","15.6","34","25.9","4.1","9","-18.2","6.4","14","180.0"
"2007 - 07","2617600","11","24","-29.4","6.4","14","55.6","3.2","7","-50.0"
"2007 - 08","2618829","11.9","26","8.3","5.5","12","-14.3","4.1","9","28.6"
"2007 - 09","2620058","16.9","37","42.3","7.3","16","33.3","3.7","8","-11.1"
"2007 - 10","2621287","18.3","40","8.1","10.5","23","43.8","3.2","7","-12.5"
"2007 - 11","2622516","17.8","39","-2.5","5.9","13","-43.5","2.7","6","-14.3"
"2007 - 12","2623745","12.3","27","-30.8","5.9","13","0.0","2.7","6","0.0"
"2008 - 01","2624975","15.5","34","25.9","4.6","10","-23.1","6.4","14","133.3"
"2008 - 02","2626204","14.2","31","-8.8","7.3","16","60.0","3.2","7","-50.0"
"2008 - 03","2627433","13.7","30","-3.2","4.6","10","-37.5","3.7","8","14.3"
"2008 - 04","2628662","16","35","16.7","8.7","19","90.0","5.9","13","62.5"
"2008 - 05","2629891","7.3","16","-54.3","3.7","8","-57.9","2.3","5","-61.5"
"2008 - 06","2631120","13.2","29","81.3","2.7","6","-25.0","4.1","9","80.0"
"2008 - 07","2632349","15.5","34","17.2","8.2","18","200.0","1.4","3","-66.7"
"2008 - 08","2634183","11.8","26","-23.5","6.8","15","-16.7","4.6","10","233.3"
"2008 - 09","2636017","7.7","17","-34.6","5","11","-26.7","2.7","6","-40.0"
"2008 - 10","2637852","13.2","29","70.6","7.3","16","45.5","2.7","6","0.0"
"2008 - 11","2639686","13.6","30","3.4","5","11","-31.2","4.1","9","50.0"
"2008 - 12","2641520","10.4","23","-23.3","3.2","7","-36.4","5.9","13","44.4"
"2009 - 01","2643354","12.7","28","21.7","5","11","57.1","3.2","7","-46.2"
"2009 - 02","2645188","12.2","27","-3.6","6.4","14","27.3","2.7","6","-14.3"
"2009 - 03","2647022","18.1","40","48.1","7.7","17","21.4","4.1","9","50.0"
"2009 - 04","2648857","18.1","40","0.0","6.8","15","-11.8","3.6","8","-11.1"
"2009 - 05","2650691","17.2","38","-5.0","5.4","12","-20.0","5","11","37.5"
"2009 - 06","2652525","16.3","36","-5.3","5.9","13","8.3","1.8","4","-63.6"
"2009 - 07","2654359","17.2","38","5.6","6.3","14","7.7","4.5","10","150.0"
"2009 - 08","2656175","14.5","32","-15.8","6.3","14","0.0","2.7","6","-40.0"
"2009 - 09","2657991","15.8","35","9.4","7.2","16","14.3","4.1","9","50.0"
"2009 - 10","2659806","18","40","14.3","7.7","17","6.3","4.5","10","11.1"
"2009 - 11","2661622","14.4","32","-20.0","6.3","14","-17.6","3.6","8","-20.0"
"2009 - 12","2663438","18.5","41","28.1","6.8","15","7.1","5.9","13","62.5"
"2010 - 01","2665254","16.7","37","-9.8","4.5","10","-33.3","3.2","7","-46.2"
"2010 - 02","2667069","13.5","30","-18.9","5.4","12","20.0","3.6","8","14.3"
"2010 - 03","2668885","13.9","31","3.3","6.3","14","16.7","5.8","13","62.5"
"2010 - 04","2670701","12.1","27","-12.9","8.5","19","35.7","1.8","4","-69.2"
"2010 - 05","2672517","13.9","31","14.8","6.3","14","-26.3","3.6","8","100.0"
"2010 - 06","2674332","12.1","27","-12.9","5.4","12","-14.3","2.7","6","-25.0"
"2010 - 07","2676148","16.1","36","33.3","7.6","17","41.7","4.5","10","66.7"
"2010 - 08","2678521","13.9","31","-13.9","5.4","12","-29.4","3.1","7","-30.0"
"2010 - 09","2680894","20.6","46","48.4","8.1","18","50.0","2.7","6","-14.3"
"2010 - 10","2683267","18.3","41","-10.9","6.7","15","-16.7","5.4","12","100.0"
"2010 - 11","2685639","17","38","-7.3","7.6","17","13.3","2.2","5","-58.3"
"2010 - 12","2688012","14.7","33","-13.2","4.9","11","-35.3","5.4","12","140.0"
